"","x"
"X1",2
"X2",2
"X3",1
"X4",2
"X5",2
"X6",2
"X7",1
"X8",1
"X9",2
"X10",3
"X11",1
"X12",1
"X13",3
"X14",1
"X15",2
"X16",1
"X17",1
"X18",1
"X19",2
"X20",2
"X21",2
"X22",3
"X23",1
"X24",1
"X25",1
"X26",2
"X27",1
"X28",2
"X29",1
"X30",1
"X31",1
"X32",3
"X33",1
"X34",2
"X35",1
"X36",1
"X37",2
"X38",2
"X39",1
"X40",1
"X41",2
"X42",1
"X43",1
"X44",2
"X45",1
"X46",1
"X47",2
"X48",1
"X49",2
"X50",2
"X51",2
"X52",1
"X53",1
"X54",2
"X55",2
"X56",1
"X57",2
"X58",2
"X59",1
"X60",1
"X61",2
"X62",2
"X63",1
"X64",2
"X65",2
"X66",1
"X67",1
"X68",2
"X69",2
"X70",2
"X71",2
"X72",1
"X73",1
"X74",1
"X75",1
"X76",1
"X77",2
"X78",2
"X79",2
"X80",2
"X81",1
"X82",2
"X83",1
"X84",2
"X85",2
"X86",2
"X87",1
"X88",1
"X89",1
"X90",2
"X91",2
"X92",2
"X93",2
"X94",3
"X95",1
"X96",2
"X97",1
"X98",1
"X99",2
"X100",2
"X101",3
"X102",2
"X103",2
"X104",2
"X105",1
"X106",3
"X107",1
"X108",2
"X109",2
"X110",2
"X111",2
"X112",1
"X113",1
"X114",1
"X115",1
"X116",2
"X117",1
"X118",1
"X119",1
"X120",2
"X121",2
"X122",1
"X123",2
"X124",2
"X125",1
"X126",1
"X127",2
"X128",2
"X129",2
"X130",1
"X131",2
"X132",2
"X133",1
"X134",1
"X135",2
"X136",2
"X137",1
"X138",2
"X139",2
"X140",1
"X141",1
"X142",2
"X143",2
"X144",2
"X145",2
"X146",1
"X147",1
"X148",1
"X149",2
"X150",2
"X151",2
"X152",2
"X153",1
"X154",1
"X155",1
"X156",2
"X157",1
"X158",1
"X159",1
"X160",1
"X161",3
"X162",2
"X163",2
"X164",2
"X165",1
"X166",1
"X167",2
"X168",1
"X169",1
"X170",1
"X171",1
"X172",1
"X173",1
"X174",1
"X175",1
"X176",1
"X177",2
"X178",1
"X179",2
"X180",2
"X181",2
"X182",1
"X183",1
"X184",2
"X185",2
"X186",2
"X187",1
"X188",2
"X189",2
"X190",1
"X191",1
"X192",2
"X193",3
"X194",3
"X195",3
"X196",3
"X197",3
"X198",3
"X199",3
"X200",3
"X201",3
"X202",3
"X203",3
"X204",1
"X205",1
"X206",2
"X207",2
"X208",2
"X209",1
"X210",2
"X211",1
"X212",2
"X213",1
"X214",1
"X215",2
"X216",2
"X217",1
"X218",1
"X219",2
"X220",1
"X221",2
"X222",2
"X223",2
"X224",1
"X225",1
"X226",2
"X227",2
"X228",2
"X229",3
"X230",2
"X231",1
"X232",1
"X233",2
"X234",2
"X235",2
"X236",2
"X237",2
"X238",1
"X239",1
"X240",2
"X241",2
"X242",2
"X243",1
"X244",1
"X245",1
"X246",3
"X247",1
"X248",1
"X249",2
"X250",2
"X251",1
"X252",1
"X253",2
"X254",2
"X255",2
"X256",2
"X257",2
"X258",1
"X259",1
"X260",2
"X261",2
"X262",2
"X263",1
"X264",1
"X265",1
"X266",1
"X267",2
"X268",2
"X269",2
"X270",2
"X271",2
"X272",1
"X273",1
"X274",1
"X275",2
"X276",2
"X277",2
"X278",1
"X279",1
"X280",1
"X281",2
"X282",2
"X283",2
"X284",2
"X285",2
"X286",1
"X287",1
"X288",2
"X289",2
"X290",2
"X291",1
"X292",2
"X293",1
"X294",1
"X295",2
"X296",2
"X297",2
"X298",2
"X299",2
"X300",1
"X301",1
"X302",2
"X303",2
"X304",2
"X305",2
"X306",2
"X307",3
"X308",1
"X309",1
"X310",2
"X311",2
"X312",1
"X313",1
"X314",2
"X315",2
"X316",2
"X317",2
"X318",1
"X319",2
"X320",1
"X321",2
"X322",2
"X323",2
"X324",2
"X325",2
"X326",1
"X327",1
"X328",2
"X329",2
"X330",2
"X331",2
"X332",2
"X333",1
"X334",2
"X335",1
"X336",2
