"","State","Statistic","Original
sequences","TVMC
cluster","TVMC
no cluster","paired-MC
cluster","paired-MC
no cluster","paired-MC order 2
 cluster","paired-MC order 2
 no cluster"
"1","BIKE","Average occurrence time",0.04,0.04,0.04,0.04,0.03,0.04,0.04
"2","BIKE","Duration mean",15.22,15.99,12.33,14.7,13.44,12.33,17.37
"3","BIKE","Duration SD",16.26,19.55,14.33,15.42,10.39,12.24,19.3
"4","BUS","Average occurrence time",0.01,0.01,0.01,0,0.01,0.01,0.01
"5","BUS","Duration mean",9.2,9.12,7.42,7.83,9.16,9.08,9.22
"6","BUS","Duration SD",4.61,5.37,3.3,1.72,3.88,3.48,4.71
"7","CAR","Average occurrence time",3.6,3.56,3.61,3.56,3.55,3.62,3.54
"8","CAR","Duration mean",16.48,16.42,16.49,16.33,16.48,16.72,16.48
"9","CAR","Duration SD",15.32,15.91,16.02,15.09,14.8,15.32,14.83
"10","EAT_OUT","Average occurrence time",0.16,0.17,0.16,0.15,0.14,0.16,0.16
"11","EAT_OUT","Duration mean",33.16,34.21,32.78,32.68,30.05,36.39,34.29
"12","EAT_OUT","Duration SD",36.7,34.11,33.75,36.36,33.71,39.28,36.04
"13","EDUCATION","Average occurrence time",0.04,0.04,0.04,0.04,0.03,0.04,0.04
"14","EDUCATION","Duration mean",30.05,17.66,40.04,21.37,16.27,28.11,30.49
"15","EDUCATION","Duration SD",71.05,34.36,79.7,58.8,32.19,67.16,64.67
"16","HOME","Average occurrence time",2.44,2.44,2.43,2.4,2.4,2.43,2.41
"17","HOME","Duration mean",401.52,402.99,403.71,412.69,407.45,398.49,403.35
"18","HOME","Duration SD",343.31,298.52,297.73,348.55,341.13,333.81,347.41
"19","LEISURE_RECREATION","Average occurrence time",0.38,0.37,0.38,0.36,0.38,0.4,0.37
"20","LEISURE_RECREATION","Duration mean",112.49,108.98,110.05,103.73,114.22,116.95,114.41
"21","LEISURE_RECREATION","Duration SD",172.72,145.43,133.07,162.95,169.72,171.73,168.08
"22","N/A","Average occurrence time",0.16,0.16,0.16,0.16,0.17,0.15,0.15
"23","N/A","Duration mean",111.91,105.73,118.33,123.69,122.94,107.28,111.59
"24","N/A","Duration SD",110.99,103.01,110.51,111.47,117.2,109.56,111.23
"25","OTHER","Average occurrence time",0.57,0.55,0.58,0.57,0.56,0.62,0.57
"26","OTHER","Duration mean",34.66,34.62,35.67,32.93,33.88,36.76,37.9
"27","OTHER","Duration SD",61.42,44.21,37.57,57.84,64.72,64.91,71.6
"28","PERSONAL_BUSINESS","Average occurrence time",0.36,0.34,0.37,0.37,0.35,0.36,0.35
"29","PERSONAL_BUSINESS","Duration mean",97.44,103.15,107.31,100.47,79.53,106.83,102.6
"30","PERSONAL_BUSINESS","Duration SD",178.83,158.93,122.48,189.33,141.79,192.51,187.26
"31","SHOP","Average occurrence time",0.57,0.54,0.57,0.6,0.57,0.56,0.56
"32","SHOP","Duration mean",22.78,23.56,22.65,22.5,22.14,23.75,21.9
"33","SHOP","Duration SD",27.11,24.8,21.94,27.11,26.65,30.86,23.37
"34","WALK","Average occurrence time",1.06,1.01,1.05,1.05,1.07,1.04,1.06
"35","WALK","Duration mean",8.8,9.24,8.82,8.96,8.61,8.86,8.74
"36","WALK","Duration SD",10.24,9.36,8.85,11.01,9.67,10.5,9.61
"37","WORK","Average occurrence time",0.93,0.9,0.92,0.89,0.94,0.9,0.92
"38","WORK","Duration mean",275.22,283.07,268.83,277.12,280.4,287.31,285.37
"39","WORK","Duration SD",224.9,221.93,215.11,225.95,224.15,228.99,225.46
